-log10pvalue	-log10qvalue	rank	basepairs
477.33	470.80	771	3
476.76	470.23	774	1
476.61	470.08	775	1
476.40	469.87	776	1
475.71	469.18	777	1
475.44	468.91	778	1
475.06	468.53	779	1
474.62	468.10	780	2
474.44	467.92	782	1
473.73	467.21	783	3
473.46	466.94	786	1
473.14	466.62	787	1
472.47	465.95	788	1
472.36	465.84	789	1
472.27	465.75	790	1
472.22	465.70	791	3
471.88	465.36	794	1
471.83	465.31	795	1
471.72	465.20	796	1
470.86	464.34	797	1
470.71	464.20	798	2
470.58	464.07	800	1
470.20	463.69	801	1
470.05	463.54	802	2
469.66	463.15	804	1
469.15	462.64	805	1
468.82	462.31	806	2
468.74	462.23	808	2
468.73	462.22	810	1
468.38	461.87	811	3
468.15	461.64	814	1
468.13	461.62	815	1
467.88	461.37	816	2
467.69	461.19	818	2
467.32	460.82	820	1
467.26	460.76	821	1
467.17	460.67	822	2
466.71	460.21	824	1
466.70	460.20	825	1
466.65	460.15	826	1
466.59	460.09	827	1
466.22	459.72	828	1
466.20	459.70	829	1
466.19	459.69	830	1
466.02	459.52	831	3
465.82	459.32	834	2
465.79	459.30	836	2
465.60	459.11	838	1
465.08	458.59	839	1
464.40	457.91	840	1
463.57	457.08	841	2
462.89	456.40	843	1
462.86	456.37	844	1
462.82	456.33	845	3
462.47	455.98	848	1
462.33	455.84	849	3
462.32	455.83	852	1
462.16	455.67	853	1
461.72	455.23	854	1
461.32	454.84	855	1
461.23	454.75	856	1
461.19	454.71	857	3
460.95	454.47	860	1
460.88	454.40	861	1
460.72	454.24	862	2
460.26	453.78	864	1
460.12	453.64	865	1
459.90	453.42	866	1
459.77	453.29	867	1
459.57	453.09	868	1
459.53	453.05	869	1
459.34	452.86	870	1
459.10	452.62	871	1
459.04	452.56	872	1
457.97	451.49	873	2
457.91	451.44	875	1
457.49	451.02	876	4
457.17	450.70	880	1
457.08	450.61	881	1
456.89	450.42	882	2
456.73	450.26	884	1
456.25	449.78	885	1
456.21	449.74	886	1
455.87	449.40	887	2
455.32	448.85	889	1
455.15	448.68	890	1
454.60	448.13	891	2
454.39	447.92	893	1
453.73	447.26	894	1
451.98	445.51	895	1
451.97	445.51	896	1
451.83	445.37	897	1
451.56	445.10	898	1
451.53	445.07	899	1
451.29	444.83	900	1
451.17	444.71	901	1
450.54	444.08	902	1
450.12	443.66	903	1
450.09	443.63	904	1
449.96	443.50	905	3
449.64	443.18	908	3
449.55	443.09	911	1
448.95	442.49	912	1
448.71	442.25	913	1
448.36	441.90	914	1
448.18	441.72	915	3
448.12	441.67	918	1
448.11	441.66	919	1
447.57	441.12	920	1
447.36	440.91	921	1
447.24	440.79	922	1
446.97	440.52	923	1
446.69	440.24	924	3
446.66	440.21	927	2
445.88	439.43	929	1
445.77	439.32	930	2
445.51	439.06	932	1
445.19	438.74	933	2
444.61	438.16	935	2
444.39	437.94	937	1
444.01	437.57	938	2
443.78	437.34	940	1
443.56	437.12	941	1
443.03	436.59	942	2
443.00	436.56	944	3
442.77	436.33	947	1
442.52	436.08	948	2
441.97	435.53	950	1
441.91	435.47	951	1
441.86	435.42	952	1
441.00	434.56	953	1
440.89	434.45	954	1
440.72	434.28	955	1
440.37	433.93	956	4
439.97	433.54	960	1
439.80	433.37	961	1
439.53	433.10	962	3
439.37	432.94	965	1
439.23	432.80	966	2
439.12	432.69	968	1
438.78	432.35	969	7
438.14	431.71	976	1
438.01	431.58	977	2
437.75	431.32	979	1
437.19	430.76	980	8
436.59	430.17	988	1
436.58	430.16	989	1
436.26	429.84	990	1
436.25	429.83	991	3
436.23	429.81	994	1
435.60	429.18	995	3
435.22	428.80	998	1
435.15	428.73	999	1
435.14	428.72	1000	1
435.00	428.58	1001	1
434.78	428.36	1002	3
434.67	428.26	1005	1
434.65	428.24	1006	1
434.08	427.67	1007	1
434.01	427.60	1008	1
433.40	426.99	1009	1
